NAMOBJ,jumlah_ws,luas_ws_km2,jumlah_das,luas_das_km2
Berau,4,21008.19,214,21008.19
Biak Numfor,1,2255.26,121,2255.26
Bima,1,4215.59,393,4215.59
Bintan,1,1316.81,354,1316.81
Bireuen,3,1796.94,18,1796.94
Blitar,1,1745.22,57,1745.22
Blora,2,1957.29,6,1957.29
Boalemo,2,1830.86,100,1830.86
Bogor,4,2991.78,12,2991.78
Bojonegoro,2,2312.63,2,2312.63
Bolaang Mongondow,3,3291.5,66,3291.5
Bolaang Mongondow Selatan,2,1773.87,110,1773.87
Bolaang Mongondow Timur,3,859.9,58,859.9
Bolaang Mongondow Utara,2,1644.38,55,1644.38
Bombana,3,3293.59,193,3293.59
Bondowoso,2,1554.99,20,1554.99
Bone,3,4567.24,66,4567.24
Bone Bolango,2,1889.0,69,1889.0
Boven Digoel,1,23558.27,4,23558.27
Boyolali,3,1096.59,6,1096.59
Brebes,4,1742.81,12,1742.81
Buleleng,1,1322.68,166,1322.68
Bulukumba,1,1175.53,58,1175.53
Bulungan,3,13873.5,61,13873.5
Bungo,1,4760.83,1,4760.83
Buol,3,3723.57,98,3723.57
Buru,1,4915.57,134,4915.57
Buru Selatan,1,3678.7,220,3678.7
Buton,1,1669.33,172,1669.33
Buton Selatan,1,517.63,68,517.63
Buton Tengah,1,836.93,80,836.93
Buton Utara,1,1755.83,250,1755.83
Ciamis,3,1595.94,6,1595.94
Cianjur,4,3631.92,30,3631.92
Cilacap,4,2323.93,57,2323.93
Cirebon,1,1071.49,17,1071.49
Dairi,3,2083.6,3,2083.6
Deiyai,2,2846.41,4,2846.41
Deli Serdang,2,2581.23,8,2581.23
Demak,1,977.77,7,977.77
Dharmasraya,2,2920.93,2,2920.93
Dogiyai,2,3792.93,9,3792.93
Dompu,1,2281.75,126,2281.75
Donggala,3,5126.59,243,5126.59
Empat Lawang,3,2234.1,5,2234.1
Ende,1,2085.24,244,2085.24
Enrekang,2,1806.82,6,1806.82
Fak Fak,2,9736.54,849,9736.54
Flores Timur,2,1748.52,483,1748.52
Garut,4,3101.24,66,3101.24
Gayo Lues,6,5541.28,11,5541.28
Gianyar,1,364.36,8,364.36
Gorontalo,2,2160.36,66,2160.36
Gorontalo Utara,5,1703.49,215,1703.49
Gowa,2,1813.0,15,1813.0
Gresik,3,1452.09,22,1452.09
Grobogan,2,2023.85,6,2023.85
Gunung Mas,4,9305.76,4,9305.76
Gunungkidul,2,1475.13,5,1475.13
Halmahera Barat,2,2239.09,256,2239.09
Halmahera Selatan,2,8096.09,1723,8096.09
Halmahera Tengah,1,2276.87,334,2276.87
Halmahera Timur,2,6488.67,366,6488.67
Halmahera Utara,2,3404.26,331,3404.26
Hulu Sungai Selatan,2,1697.22,2,1697.22
Hulu Sungai Tengah,2,1573.54,2,1573.54
Hulu Sungai Utara,1,907.49,1,907.49
Humbang Hasundutan,3,2351.51,7,2351.51
Indonesia,1,0.01,2,0.01
Indragiri Hilir,6,13394.5,29,13394.5
Indragiri Hulu,4,7871.85,4,7871.85
Indramayu,2,2076.06,26,2076.06
Intan Jaya,3,5334.44,5,5334.44
Jawa Timur,2,0.96,2,0.96
Jayapura,1,14081.99,74,14081.99
Jayawijaya,2,2629.01,2,2629.01
Jember,3,3313.44,111,3313.44
Jembrana,1,849.13,53,849.13
Jeneponto,1,796.0,42,796.0
Jepara,3,1020.0,58,1020.0
Jombang,2,1109.84,3,1109.84
Kaimana,3,17848.82,1034,17848.82
Kalimantan Barat,1,0.45,5,0.45
Kalimantan Timur,1,3.8,5,3.8
Kampar,4,10352.8,4,10352.8
Kapuas,2,17033.64,2,17033.64
Kapuas Hulu,3,31318.25,3,31318.25
Karanganyar,1,803.02,1,803.02
Karangasem,1,839.32,98,839.32
Karawang,1,1913.71,7,1913.71
Karimun,1,930.19,393,930.19
Karo,4,2206.88,7,2206.88
Katingan,4,20382.25,13,20382.25
Kaur,2,2608.55,31,2608.55
Kayong Utara,2,4110.12,152,4110.12
Kebumen,1,1334.1,11,1334.1
Kediri,1,1523.56,1,1523.56
Keerom,1,9526.32,7,9526.32
Kendal,3,1008.12,12,1008.12
Kep. Siau Tagulandang Biaro,1,216.41,65,216.41
Kepahiang,2,738.97,5,738.97
Kepulauan Anambas,1,626.96,259,626.96
