nama_das,nama_ws_induk,luas_das_km2
IBOIH 4,WS ACEH-MEUREUDU,0.58
PULAU TEUNOM 2,WS ACEH-MEUREUDU,0.57
COT DAMAR,WS ACEH-MEUREUDU,0.54
MELINGGE 7,WS ACEH-MEUREUDU,0.55
PAYA SEUNARA 3,WS ACEH-MEUREUDU,0.49
UJUNG BATEETROH,WS ACEH-MEUREUDU,0.51
UJUNG SEUKE,WS ACEH-MEUREUDU,0.5
LAMPUYANG 5,WS ACEH-MEUREUDU,0.47
PAYA 2,WS ACEH-MEUREUDU,0.45
ALUE RAYA,WS ACEH-MEUREUDU,0.43
IBOIH 8,WS ACEH-MEUREUDU,0.41
COT BAK KRUT 6,WS ACEH-MEUREUDU,0.4
PAYA SEUNARA 2,WS ACEH-MEUREUDU,0.4
PULAU TEUNOM 6,WS ACEH-MEUREUDU,0.42
IBOIH 15,WS ACEH-MEUREUDU,0.4
PULAU TEUNOM 5,WS ACEH-MEUREUDU,0.41
IBOIH 7,WS ACEH-MEUREUDU,0.38
IBOIH 12,WS ACEH-MEUREUDU,0.37
ALUE LAPENG 2,WS ACEH-MEUREUDU,0.35
IBOIH 11,WS ACEH-MEUREUDU,0.34
PAYA SEUNARA 5,WS ACEH-MEUREUDU,0.32
PULAU TEUNOM 7,WS ACEH-MEUREUDU,0.33
UJONG PEUNEUNG,WS ACEH-MEUREUDU,0.32
LAMPUYANG 4,WS ACEH-MEUREUDU,0.31
PAYA SEUNARA 6,WS ACEH-MEUREUDU,0.29
ARUN 5,WS ACEH-MEUREUDU,0.31
IBOIH 13,WS ACEH-MEUREUDU,0.3
ALUE LAPENG 3,WS ACEH-MEUREUDU,0.31
ALUE LAPENG 4,WS ACEH-MEUREUDU,0.3
ULEE LHEUE 1,WS ACEH-MEUREUDU,0.41
KRUENG CEUNONOT 3,WS ACEH-MEUREUDU,0.3
PULAU RUSA,WS ACEH-MEUREUDU,0.3
KRUENG CEUNONOT 4,WS ACEH-MEUREUDU,0.27
LAM PAGEU 1,WS ACEH-MEUREUDU,0.27
PAYA SEUNARA 4,WS ACEH-MEUREUDU,0.23
IBOIH 14,WS ACEH-MEUREUDU,0.25
IBOIH 9,WS ACEH-MEUREUDU,0.25
TEUPIN MEUNENG,WS ACEH-MEUREUDU,0.23
PULAU TEUNOM 4,WS ACEH-MEUREUDU,0.22
ARUN 7,WS ACEH-MEUREUDU,0.23
ARUN 6,WS ACEH-MEUREUDU,0.22
UJONG GAPEUH,WS ACEH-MEUREUDU,0.21
IBOIH 16,WS ACEH-MEUREUDU,0.21
IBOIH 6,WS ACEH-MEUREUDU,0.2
PASIE KEREUSEK,WS ACEH-MEUREUDU,0.21
KRUENG CEUNONOT 6,WS ACEH-MEUREUDU,0.18
ANEUK GLEE,WS ACEH-MEUREUDU,0.18
LAM PAGEU 2,WS ACEH-MEUREUDU,0.18
