ws_name,layer_name,ext,filename,drive_file_id
WS_BATANGHARI,TutupanLahan,shx,TutupanLahan_WS_BATANGHARI.shx,1x142ErK5RR1CmCUj3xLu1sZ32LuG3IYQ
WS_BATANGHARI,TutupanLahan,cpg,TutupanLahan_WS_BATANGHARI.cpg,1Edf2R2N297poRxyl8BR4jlgJmXC21PZ0
WS_BATANGHARI,TutupanLahan,prj,TutupanLahan_WS_BATANGHARI.prj,160qe0zmlbjnwxThJkwWrSU3ePVufK4Bm
WS_BATANGHARI,KawasanHutan,shp,KawasanHutan_WS_BATANGHARI.shp,11bnVuH1zebUKufIewSl1KTDAbB35wtEg
WS_BATANGHARI,KawasanHutan,prj,KawasanHutan_WS_BATANGHARI.prj,1Zr-PN9dxbb4AH_9gXvpq4AiBtBHhi8_7
WS_BATANGHARI,KawasanHutan,cpg,KawasanHutan_WS_BATANGHARI.cpg,16MSsd1C-sJ7EMp-wPaanynTT6G15dUFU
WS_BATANGHARI,KawasanHutan,dbf,KawasanHutan_WS_BATANGHARI.dbf,1pKwdnXweY8Bn5zVcQtrNehx7JoUBM3ZG
WS_BATANGHARI,KawasanHutan,shx,KawasanHutan_WS_BATANGHARI.shx,1MF5AUxzt3EWauYtCLO-ioBkLBzXtI9P8
WS_BATANGHARI,JenisTanah,dbf,JenisTanah_WS_BATANGHARI.dbf,13fCP-b-D4idazxCuKN1oV9TrNT3_9tNl
WS_BATANGHARI,JenisTanah,prj,JenisTanah_WS_BATANGHARI.prj,1sZ6NMwKHHjB2_zVgZELSnd7s2Xrwdb5u
WS_BATANGHARI,JenisTanah,shp,JenisTanah_WS_BATANGHARI.shp,1b0vEXkI4pyTkOrEI0lT9hVUG5bDP2kXE
WS_BATANGHARI,JenisTanah,cpg,JenisTanah_WS_BATANGHARI.cpg,1m4aRA-4kbcrld4TlXEzlpJ3besOtbP6B
WS_BATANGHARI,JenisTanah,shx,JenisTanah_WS_BATANGHARI.shx,1I7efOLNf-Q2LorydpsS0Wb5iCydLCB8u
WS_BATANGHARI,Erosi,dbf,Erosi_WS_BATANGHARI.dbf,17O3O5kPyB10TlQytQqhLpxR2q8bBb5JD
WS_BATANGHARI,Erosi,shx,Erosi_WS_BATANGHARI.shx,1VPbxmgvbvabo76Y5yurN7vKb14wY5C3Q
WS_BATANGHARI,Erosi,shp,Erosi_WS_BATANGHARI.shp,16eO9LdG8GfUXilVb61jwWvHIeR1KWZwa
WS_BATANGHARI,Erosi,prj,Erosi_WS_BATANGHARI.prj,1F53YhMSzBqlLNRpW6s1tZWaAmuT17OUM
WS_BATANGHARI,Erosi,cpg,Erosi_WS_BATANGHARI.cpg,1qUXkYqFJh7qju4Iwmuwb9TCh3aJlfkKt
WS_BARITO,RURHLDAS,dbf,RURHLDAS_WS_BARITO.dbf,1oZmJX0bfXFE82fC9tfzxxEHb-iy7Uqvr
WS_BARITO,RURHLDAS,shp,RURHLDAS_WS_BARITO.shp,1z1rABROnAk7REy84FN_ZeN0jMwJjUckI
WS_BARITO,RURHLDAS,shx,RURHLDAS_WS_BARITO.shx,1mgviqaGK7AphdPkZ3TzFAgZmojJokvjB
WS_BARITO,RURHLDAS,prj,RURHLDAS_WS_BARITO.prj,1SMvisQxF2IwlMErpTiDBiedWlzlN-U0q
WS_BARITO,RURHLDAS,cpg,RURHLDAS_WS_BARITO.cpg,1PPEP8zJjs65jamdTl0DTGum-yxDf-maU
WS_BARITO,TutupanLahan,dbf,TutupanLahan_WS_BARITO.dbf,1s8iqsiJrttjxtxpOkq3Wcf92UKQBA8bT
WS_BARITO,TutupanLahan,shx,TutupanLahan_WS_BARITO.shx,14mciIuqDDfJ-WkSLJAAmW-vtctOHs60e
WS_BARITO,TutupanLahan,shp,TutupanLahan_WS_BARITO.shp,1WNhlPSk0JtwyUG3ImleUorU2hB1nIsFC
WS_BARITO,TutupanLahan,prj,TutupanLahan_WS_BARITO.prj,1WKncuMPg3bgR2XC-eGG_v8bpRCH1bJu_
WS_BARITO,TutupanLahan,cpg,TutupanLahan_WS_BARITO.cpg,1CNFaqdhb5RGdV81JKaGrQJf_EenjGk_f
WS_BARITO,KawasanHutan,cpg,KawasanHutan_WS_BARITO.cpg,1hoR0Kuk4Ws1k6CoOa0uCfkQY7GOsc2TV
WS_BARITO,KawasanHutan,shx,KawasanHutan_WS_BARITO.shx,1r0CgeNGSQz772qHoPC3mDhUzkZIymWWI
WS_BARITO,KawasanHutan,shp,KawasanHutan_WS_BARITO.shp,1gIEB31KNhaLnMugsi7jreZHkHED1QN6Y
WS_BARITO,KawasanHutan,prj,KawasanHutan_WS_BARITO.prj,1l0v_rSzXUBSN_BMkHlXGtaFd2i-wQ5Td
WS_BARITO,KawasanHutan,dbf,KawasanHutan_WS_BARITO.dbf,1URFvUvv9bvCLmzCT32gnCxnvAT_D5bgB
WS_BARITO,JenisTanah,cpg,JenisTanah_WS_BARITO.cpg,1Z4cGwPaoaXOOa96TZteqiYo9UOc20q8h
WS_BARITO,JenisTanah,shp,JenisTanah_WS_BARITO.shp,1mS96z3UdHgPQ1fULvTMDk3MKZ_R-CXf5
WS_BARITO,JenisTanah,dbf,JenisTanah_WS_BARITO.dbf,1ASrOHQv71x_rpQPk3mJh2mSecDFEsWxm
WS_BARITO,JenisTanah,prj,JenisTanah_WS_BARITO.prj,1ddzRjR1YzP92ISKxjniP8pD77EwT7Sn5
